Review Rating;Review Writer;Title;Date Published;Verify Status;Country;Aircraft;Route;Type Of Traveller;Seat type;Date Flown;Value For Money (rating out of five);Seat Comfort (rating out of five);Cabin Staff Service (rating out of five);Food & Beverages (rating out of five);inflight_entertainment (rating out of five);Wifi & Connectivity (rating out of five);Ground Service (rating out of five);Recommended
1;Michael Hughes;"""They overbook flights""";2019-05-13;Trip Verified;United Kingdom;n/a;Amsterdam to London;Solo Leisure;Economy Class;May 2019;1;1;1;n/a;n/a;n/a;1;no
1;N Charlin;"""never fly with KLM again""";2019-05-12;Trip Verified;Germany;n/a;Berlin to Amsterdam;Solo Leisure;Business Class;May 2019;1;3;1;1;n/a;n/a;1;no
9;L Karmitsza;"""Pleasant, nice staff""";2019-05-12;Trip Verified;Croatia;n/a;Gdansk to Split via Amsterdam;Solo Leisure;Economy Class;April 2019;5;4;5;4;n/a;n/a;4;yes
1;J Gansen;"""never will fly KLM again""";2019-05-09;Trip Verified;Netherlands;Boeing 737-300;Helsinki to Amsterdam;Solo Leisure;Business Class;May 2019;1;1;1;1;1;1;1;no
1;P Sallis;"""decade behind competition""";2019-05-09;Trip Verified;Finland;A330;Montreal to Amsterdam;Couple Leisure;Business Class;August 2018;1;1;3;4;1;1;5;no
9;T Henry;"""I was well cared for""";2019-05-08;Trip Verified;United Kingdom;n/a;Rome to Edinburgh via Amsterdam;Couple Leisure;Economy Class;May 2019;5;4;5;4;n/a;n/a;4;yes
7;Dan Grew;"""a below par performance""";2019-05-08;Trip Verified;Netherlands;Boeing 737-800;Amsterdam to Malaga;Family Leisure;Business Class;April 2019;3;3;3;3;n/a;n/a;4;yes
1;Alistair Shearing;"""Will never fly KLM again""";2019-05-07;Trip Verified;United Kingdom;n/a;Bristol to Prague via Amsterdam;Family Leisure;Economy Class;February 2019;1;4;4;n/a;n/a;n/a;1;no
1;H Knoben;"""customer service of KLM kept silent""";2019-04-30;Trip Verified;Netherlands;n/a;Bangkok to Amsterdam;Solo Leisure;Economy Class;April 2019;1;1;1;1;1;n/a;1;no
1;Marco van Zoest;"""Unwilling to do anything""";2019-04-30;Trip Verified;Netherlands;Boeing 737;Amsterdam to Venice;Solo Leisure;Economy Class;April 2019;2;3;3;n/a;n/a;n/a;1;no
8;L Ford;"""I would fly with them again""";2019-04-28;Trip Verified;United Kingdom;Boeing 737;London to Amsterdam;Family Leisure;Economy Class;April 2019;4;4;4;4;n/a;n/a;3;yes
10;E Genis;"""very pleasant flight""";2019-04-27;Trip Verified;Netherlands;Boeing 737-700;Berlin to Amsterdam;Couple Leisure;Economy Class;April 2019;5;5;5;5;n/a;n/a;5;yes
1;Maheen Ahmed;"""appalled by customer service""";2019-04-26;Trip Verified;United Kingdom;n/a;London to Rio de Janeiro  via Amsterdam;Couple Leisure;Economy Class;April 2019;1;2;1;2;1;1;1;no
1;D Garnavin;"""never again fly with KLM""";2019-04-25;Trip Verified;United Kingdom;n/a;Southampton to Amsterdam;Couple Leisure;Business Class;April 2019;1;1;1;n/a;n/a;n/a;1;no
8;E Genis;"""smooth ground service""";2019-04-24;Trip Verified;Netherlands;Boeing 737-700;Amsterdam to Berlin;Couple Leisure;Economy Class;April 2019;4;4;5;3;n/a;n/a;5;yes
8;Sanchayan Rajeetharan;"""good crew and hospitality""";2019-04-24;Trip Verified;Finland;n/a;Amsterdam to Helsinki;Solo Leisure;Economy Class;April 2019;3;5;5;5;1;1;5;yes
5;Xoliswa Khumalo;"""Staff were so obnoxious""";2019-04-22;Trip Verified;United Kingdom;n/a;Johannesburg to Manchester via Amsterdam;Family Leisure;Economy Class;April 2019;3;3;3;3;4;4;1;no
4;Thomas Toulemonde;"""Service totally absent""";2019-04-17;Trip Verified;Colombia;Boeing 737;Paris CDG to Amsterdam;Couple Leisure;Business Class;April 2019;3;1;3;3;1;n/a;1;no
9;E Edwards;"""Great customer service""";2019-04-17;Trip Verified;Finland;n/a;Edinburgh to Amsterdam via Helsinki;Solo Leisure;Economy Class;April 2019;5;3;5;4;n/a;n/a;4;yes
8;Hazel Gibbs;"""half an hour late departing""";2019-04-17;Trip Verified;Netherlands;Embraer;Oslo to Amsterdam;Solo Leisure;Economy Class;April 2019;5;4;4;4;n/a;n/a;4;yes
1;H Kim;"""will never fly with them again""";2019-04-16;Trip Verified;South Korea;n/a;Beijing to Newcastle via Amsterdam;Solo Leisure;Economy Class;January 2019;1;4;4;4;4;n/a;1;no
9;Engelie Beenen;"""Excellent customer service""";2019-04-12;Trip Verified;Netherlands;n/a;Amsterdam to Mumbai;Business;Economy Class;April 2019;4;n/a;n/a;n/a;n/a;n/a;n/a;yes
2;E Mandalesh;"""Will not fly with KLM anymore""";2019-04-09;Trip Verified;Canada;n/a;Amsterdam to Montreal;Solo Leisure;Economy Class;April 2019;2;5;5;5;3;n/a;3;no
4;Adrian Suharto;"""no menu for Business class""";2019-04-08;Trip Verified;Singapore;Boeing 777-300;Singapore to Denpasar;Couple Leisure;Business Class;April 2019;4;3;1;1;4;n/a;4;no
4;Jaap de Korver;"""Next time another airline""";2019-04-07;Trip Verified;Netherlands;Boeing 787;San Jose to Amsterdam;Business;Business Class;March 2019;1;4;4;1;4;n/a;4;no
5;Marcelo Blumenfeld;"""steady decline in quality""";2019-04-04;Not Verified;United Kingdom;n/a;Birmingham to Sao Paulo via Amsterdam;Couple Leisure;Economy Class;April 2019;2;3;3;3;3;2;3;no
8;H Malak;"""Overall really nice""";2019-03-29;Trip Verified;Germany;n/a;Osaka to Düsseldorf via Amsterdam;Solo Leisure;Economy Class;April 2018;4;5;5;5;3;n/a;5;yes
1;S Geramo;"""no customer service whatsoever""";2019-03-21;Trip Verified;Canada;n/a;Dublin to Milan;Couple Leisure;Economy Class;October 2018;1;1;1;n/a;n/a;n/a;1;no
10;James Kidd;"""A fantastic airline""";2019-03-15;Trip Verified;United Kingdom;Boeing 737-800;Newcastle to Amsterdam;Family Leisure;Economy Class;March 2019;5;5;5;5;n/a;n/a;5;yes
1;H Marshana;"""no help was provided""";2019-03-13;Trip Verified;United Kingdom;n/a;Birmingham to Alicante via Amsterdam;Family Leisure;Economy Class;February 2019;1;1;1;1;1;1;1;no
10;Daniel Hornett;"""lovely couple of flights""";2019-03-09;Trip Verified;United Kingdom;Boeing 737-800;Helsinki to Vienna via Amsterdam;Solo Leisure;Economy Class;February 2019;5;4;5;4;2;n/a;5;yes
1;G Bueler;"""searching for the booking option""";2019-03-08;Trip Verified;Austria;n/a;Ljubljana to Malaga via Amsterdam;Solo Leisure;Economy Class;May 2018;1;1;1;n/a;n/a;n/a;1;no
8;Alyssa Rozenwasser;"""definitely fly KLM again""";2019-03-06;Not Verified;Israel;Boeing 737-900 /  B777-300;Tel Aviv to Jakarta via Amsterdam;Family Leisure;Economy Class;February 2019;5;3;4;3;3;n/a;4;yes
9;Tomacita Balanquit;"""service was very impressive""";2019-03-06;Trip Verified;United Arab Emirates;n/a;Dubai to Birmingham via Amsterdam;Solo Leisure;Economy Class;March 2019;5;4;5;4;4;n/a;4;yes
8;Richard Callis;"""change was done without fuss or charge""";2019-03-05;Trip Verified;Brazil;Boeing 737;London Heathrow to Amsterdam;Solo Leisure;Economy Class;February 2019;4;5;5;4;n/a;n/a;5;yes
9;Jasper Rom;"""a very comfortable flight""";2019-03-03;Trip Verified;Netherlands;Boeing 777-300ER;Tokyo to Amsterdam;Solo Leisure;Business Class;February 2019;4;5;5;4;4;2;5;yes
10;Simon Channon;"""excellent team leader""";2019-03-01;Trip Verified;United Kingdom;Boeing 777/737;Johannesburg to London via Amsterdam;Family Leisure;Business Class;February 2019;5;4;5;5;5;n/a;5;yes
9;H Perlout;"""getting better and better""";2019-03-01;Trip Verified;Netherlands;Boeing 777-300;Amsterdam to Bangkok;Business;Economy Class;February 2019;4;4;5;4;5;n/a;4;yes
1;Lars Kristiansson;"""airline could not care less""";2019-02-20;Trip Verified;United States;n/a;Houston to Copenhagen via Amsterdam;Solo Leisure;Economy Class;January 2019;3;2;3;2;2;n/a;2;no
8;Simon Castleman;"""crew friendly and attentive""";2019-02-18;Trip Verified;United Kingdom;Boeing 747-400;Birmingham to Curacao via Amsterdam;Couple Leisure;Business Class;February 2019;3;4;4;4;3;n/a;4;yes
1;Jaimala Wankhede;"""Absolute worst experience""";2019-02-17;Trip Verified;Netherlands;n/a;Mumbai to Amsterdam;Solo Leisure;Economy Class;February 2019;1;1;1;1;1;1;2;no
8;P Scott;"""quality of meals was very poor""";2019-02-15;Not Verified;United Kingdom;n/a;Humberside to Santiago de Chile via Amsterdam;Couple Leisure;Economy Class;February 2019;4;3;5;1;5;n/a;5;yes
1;J Berger;"""refuses to refund our expenses""";2019-02-11;Trip Verified;Germany;n/a;Munich to Havana via Amsterdam;Couple Leisure;Business Class;December 2018;3;4;4;n/a;4;n/a;1;no
5;C Herviler;"""Service was below average""";2019-02-08;Trip Verified;Netherlands;Boeing 777-200ER;Guayaquil to Amsterdam;Solo Leisure;Economy Class;January 2019;2;2;2;2;3;n/a;3;no
8;L  Kamutza;"""not the same as it used to be""";2019-02-06;Trip Verified;Croatia;Boeing 747;Gdansk to Hong Kong via Amsterdam;Solo Leisure;Economy Class;January 2019;4;4;3;4;3;n/a;5;yes
10;Clive Charles;"""would fly with them again""";2019-02-04;Trip Verified;United Kingdom;n/a;Amsterdam to London;Couple Leisure;Economy Class;January 2019;5;4;5;4;n/a;n/a;5;yes
1;Stephane Merigon;"""staff was very rude""";2019-02-04;Not Verified;United Kingdom;n/a;Amsterdam to London;Couple Leisure;Business Class;February 2019;1;2;1;1;n/a;n/a;1;no
1;R Barivo;"""Never again KLM""";2019-02-03;Trip Verified;United Kingdom;n/a;Durham to Amsterdam;Couple Leisure;Economy Class;February 2019;1;n/a;n/a;n/a;n/a;n/a;1;no
1;T Singh;"""service is nowhere near acceptable""";2019-02-02;Trip Verified;India;Boeing 747-400 and Boeing 777-300ER;Toronto to Delhi via Amsterdam;Family Leisure;Economy Class;January 2019;2;1;1;1;1;n/a;2;no
7;Kyle Irwin;"""Service was strange""";2019-02-01;Trip Verified;United Kingdom;Boeing 747-400;Amsterdam to Curacao ;Couple Leisure;Economy Class;January 2019;4;3;3;5;3;n/a;3;yes
8;Chris Walsh;"""an asset to the airline""";2019-01-28;Trip Verified;United Kingdom;Boeing 777;Denpasar to London via Singapore;Couple Leisure;Business Class;January 2019;4;3;5;2;4;n/a;4;yes
1;S Gamok;"""Extremely bad service""";2019-01-24;Trip Verified;United States;n/a;Amsterdam to Washington;Couple Leisure;Economy Class;January 2019;3;2;1;1;3;n/a;1;no
7;Iain Bagwell;"""Overall reasonably happy""";2019-01-16;Not Verified;United States;E175/ Boeing 777;Bristol to Atlanta via Amsterdam;Solo Leisure;Business Class;December 2018;4;3;4;3;3;n/a;4;yes
1;Bas de Weerd;"""I will avoid flying with KLM""";2019-01-16;Trip Verified;Netherlands;n/a;Amsterdam to Cape Town;Family Leisure;Economy Class;November 2018;2;1;3;1;4;n/a;3;no
9;Morten Berg;"""service is not the best""";2019-01-15;Not Verified;Germany;Boeing 777-200 ER;Amsterdam to Atlanta;Family Leisure;Economy Class;December 2018;3;4;5;2;3;n/a;5;yes
2;C Marler;"""avoid this airline""";2019-01-13;Trip Verified;Australia;n/a;Stockholm to Amsterdam;Couple Leisure;Economy Class;January 2019;1;4;5;5;4;n/a;2;no
3;Alain Youell;"""Plainly dissatisfied""";2019-01-10;Trip Verified;United Kingdom;Boeing 787;London to Mumbai via Amsterdam;Solo Leisure;Business Class;December 2018;2;3;4;2;4;n/a;2;no
3;Luis Herrera;"""We will avoid this airline""";2019-01-07;Trip Verified;Mexico;B747;Jakarta to Atlanta via Amsterdam;Couple Leisure;Economy Class;January 2019;2;3;1;1;2;n/a;4;no
1;C Bodart;"""booking still not in order""";2019-01-07;Not Verified;Switzerland;n/a;Geneva to Vancouver via Amsterdam;Solo Leisure;Economy Class;January 2019;1;n/a;n/a;n/a;n/a;n/a;1;no
1;J Gillams;"""Very bad customer service""";2019-01-06;Trip Verified;Netherlands;Boeing 737-900;Oslo to Amsterdam;Couple Leisure;Economy Class;December 2018;1;1;3;3;n/a;n/a;1;no
9;G Meares;"""It was a great flight""";2019-01-04;Trip Verified;Sierra Leone;n/a;Amsterdam to Freetown;Solo Leisure;Economy Class;January 2019;4;5;5;4;4;n/a;4;yes
10;S Keizen;"""have three seats to myself""";2019-01-04;Trip Verified;Belgium;n/a;Amsterdam to Bogotá;Solo Leisure;Economy Class;January 2019;5;5;5;5;5;n/a;5;yes
5;S Berston;"""disrespected and offended""";2019-01-03;Trip Verified;Sweden;n/a;Amsterdam to Copenhagen;Solo Leisure;Economy Class;January 2019;3;3;2;1;n/a;n/a;2;no
4;Michele Francis;"""staff were abrupt and unhelpful""";2018-12-31;Not Verified;Canada;A330;Vancouver to Athens via Amsterdam;Family Leisure;Economy Class;December 2018;3;4;2;5;5;5;4;no
5;Taisier Elsarag;"""express my deepest disappointment""";2018-12-28;Not Verified;Canada;n/a;Calgary to Khartoum via Amsterdam;Solo Leisure;Economy Class;December 2018;3;4;4;4;4;n/a;4;no
9;Emmanouil Makris;"""I can recommend KLM""";2018-12-28;Trip Verified;Greece;Boeing 738 / 747-400;Athens to Mexico city via Amsterdam;Family Leisure;Business Class;December 2018;4;5;5;4;4;n/a;5;yes
8;Humble Jackson;"""have to go through so much stress""";2018-12-28;Trip Verified;United States;n/a;Atlanta to Lagos via Amsterdam;Business;Business Class;December 2018;1;2;1;2;2;3;1;no
3;C Akaratanom;"""will be the last time""";2018-12-26;Trip Verified;Germany;n/a;Frankfurt to Amsterdam;Solo Leisure;Economy Class;December 2018;1;1;1;1;1;1;1;no
1;Iryna Otto;"""wouldn't use this airline again""";2018-12-25;Not Verified;Netherlands;n/a;Amsterdam to Kiev;Solo Leisure;Economy Class;December 2018;3;3;2;2;2;2;1;no
3;E Barricone;"""bad service and late""";2018-12-20;Trip Verified;Netherlands;Boeing 737-800;Amsterdam to Rome;Business;Economy Class;December 2018;1;2;4;3;n/a;n/a;1;no
2;Peter Coxall;"""pledged never to fly KLM again""";2018-12-18;Trip Verified;United Kingdom;Boeing 787;Norwich to Rio de Janeiro via Amsterdam;Couple Leisure;Economy Class;December 2018;1;3;3;3;4;n/a;2;no
10;Megan De Wet;"""customer service was incredible""";2018-12-13;Not Verified;South Africa;n/a;Cape Town to Amsterdam;Solo Leisure;Economy Class;August 2018;5;5;5;5;5;n/a;5;yes
1;W Simpson;"""Appalling and inexcusable""";2018-12-05;Trip Verified;United States;n/a;Los Angeles to Nairobi via Amsterdam;Business;Economy Class;November 2018;1;3;5;3;5;5;1;no
9;G Meares;"""great business class product""";2018-12-04;Trip Verified;Sierra Leone;Boeing 747-400 / A330-200;New York to Sierra Leone via Amsterdam;Business;Business Class;December 2018;4;5;4;4;4;n/a;4;yes
3;S Mordon;"""300€ added to each of tickets""";2018-11-29;Trip Verified;Ireland;n/a;Dublin to Bangkok via Amsterdam;Solo Leisure;Economy Class;August 2018;1;1;5;3;n/a;n/a;1;no
2;Gella Matatov;"""should have been treated better""";2018-11-26;Not Verified;United States;n/a;Amsterdam to New York;Couple Leisure;Economy Class;November 2018;1;1;1;1;1;1;1;no
1;Kim Wheeler;"""nobody seemed to know or care""";2018-11-23;Trip Verified;United Kingdom;n/a;London to Jakarta via Amsterdam;Business;Business Class;November 2018;1;1;2;1;1;1;1;no
3;Guillermo Neumann;"""The food was so bad""";2018-11-20;Not Verified;Argentina;Boeing 747;Amsterdam to Buenos Aires;Solo Leisure;Business Class;April 2018;3;2;5;3;1;1;2;no
6;Fionn MacKillop;"""a bit of a disappointment""";2018-11-19;Trip Verified;United Kingdom;Boeing 777-300 ER;Buenos Aires to Amsterdam;Solo Leisure;Business Class;November 2018;3;3;4;3;n/a;n/a;4;no
8;Kah Kay Au;"""efficient and friendly""";2018-11-17;Trip Verified;Singapore;Boeing 777-300ER;Amsterdam to Lima;Solo Leisure;Business Class;October 2018;4;4;4;4;3;n/a;4;yes
8;J Tung;"""Seat very comfortable""";2018-11-16;Not Verified;United Kingdom;Boeing 777-200;Taipei to London City via Amsterdam ;Solo Leisure;Business Class;November 2018;4;4;4;4;4;n/a;4;yes
8;Kah Kay Au;"""the seat was comfortable""";2018-11-14;Trip Verified;Singapore;Boeing 777-300ER;Amsterdam to Singapore;Solo Leisure;Business Class;November 2018;4;4;4;4;3;n/a;4;yes
4;A Danenka;"""as unpleasant as possible""";2018-11-14;Trip Verified;Switzerland;n/a;Zurich to Gdansk via Amsterdam;Couple Leisure;Economy Class;August 2018;3;3;5;n/a;n/a;n/a;1;no
1;M Pearson;"""completely disorganized mess""";2018-11-13;Trip Verified;Norway;n/a;Trondheim to Florence via Amsterdam;Business;Economy Class;August 2018;3;2;3;3;1;1;1;no
9;Kah Kay Au;"""WiFi costly at €10 per 50MB""";2018-11-12;Trip Verified;Singapore;Boeing 787-9;Rio de Janeiro to Amsterdam ;Solo Leisure;Business Class;November 2018;4;4;4;4;3;3;4;yes
1;N Irving;"""do not care about their customer needs""";2018-11-11;Trip Verified;Norway;n/a;Madrid to Stavanger via Amsterdam;Solo Leisure;Economy Class;November 2018;1;2;3;2;2;1;1;no
1;Devashish Dasa;"""nothing good to say""";2018-11-02;Trip Verified;India;Boeing 787-9;Delhi to Rio de Janeiro via Amsterdam;Couple Leisure;Economy Class;October 2018;1;1;1;1;1;1;1;no
6;H Huurnink;"""Not overly enthusiastic""";2018-10-31;Not Verified;Netherlands;Boeing 777-300ER;Denpasar to Amsterdam via Singapore;Couple Leisure;Economy Class;October 2018;3;3;2;2;2;n/a;3;no
10;Stuart Law;"""I would fly again with KLM""";2018-10-30;Not Verified;United Kingdom;n/a;Manchester to Houston via Amsterdam;Business;Economy Class;October 2018;5;4;4;3;5;4;5;yes
9;J Marbik;"""Crew was very friendly""";2018-10-30;Trip Verified;Czech Republic;Boeing 777-300 / 737-700;Bangkok to Prague via Amsterdam;Couple Leisure;Economy Class;October 2018;5;5;5;5;5;n/a;5;yes
10;M Galena;"""nothing to complain about""";2018-10-24;Trip Verified;United States;Embraer 175;Amsterdam to Southampton;Business;Economy Class;September 2018;4;3;4;4;n/a;n/a;4;yes
9;M Jalena;"""I upgraded to business""";2018-10-24;Trip Verified;United States;Boeing 777-300;New York JFK to Amsterdam;Business;Business Class;September 2018;4;5;4;5;4;n/a;5;yes
1;S Barker;"""don't stand behind stated policies""";2018-10-21;Trip Verified;United States;n/a;San Francisco to Glasgow via Amsterdam;Solo Leisure;Economy Class;September 2018;1;1;1;1;1;1;1;no
8;Kah Kay Au;"""cheerful and efficient""";2018-10-20;Trip Verified;Singapore;Boeing 777-300ER;Singapore to Amsterdam;Solo Leisure;Business Class;October 2018;4;4;4;4;3;n/a;4;yes
10;E Genis;"""very few passengers on board""";2018-10-15;Trip Verified;Netherlands;Boeing 737-700;Nice to Amsterdam;Couple Leisure;Economy Class;October 2018;5;5;5;5;n/a;n/a;5;yes
10;G Veeren;"""journey was really a pleasant one""";2018-10-09;Trip Verified;Netherlands;Boeing 737-700;Amsterdam to Nice;Couple Leisure;Premium Economy;October 2018;5;5;5;4;n/a;n/a;5;yes
1;Nicholas Ward;"""poor customer service""";2018-10-08;Not Verified;United Kingdom;n/a;Humberside to Amsterdam;Business;Economy Class;October 2018;1;3;3;3;3;n/a;1;no
9;S Talino;"""Excellent service onboard""";2018-10-05;Trip Verified;Finland;n/a;Amsterdam to Helsinki;Couple Leisure;Economy Class;October 2018;4;4;5;n/a;n/a;n/a;5;yes
10;Muhammad Nabil Ramlee;"""pleased to have flown with KLM""";2018-10-05;Trip Verified;Australia;n/a;Abu Dhabi to Amsterdam;Solo Leisure;Economy Class;October 2018;5;4;5;5;5;n/a;5;yes
9;D Faine;"""Thank you wonderful crew""";2018-09-30;Trip Verified;Canada;A330;Amsterdam to Montreal;Couple Leisure;Economy Class;September 2018;5;5;5;5;5;5;4;yes
8;Wolfgang Bernhart;"""flight was good""";2018-09-26;Trip Verified;Germany;n/a;Amsterdam to Stuttgart;Business;Economy Class;September 2018;4;3;5;3;n/a;n/a;3;yes
2;R Dirvelen;"""the worst customer service""";2018-09-26;Trip Verified;Switzerland;n/a;Amsterdam to Dubai;Solo Leisure;Economy Class;November 2018;1;n/a;n/a;n/a;n/a;n/a;n/a;no
2;N Berler;"""Worst customer service""";2018-09-24;Trip Verified;Netherlands;n/a;Amsterdam to Ibiza;Couple Leisure;Economy Class;September 2018;1;3;3;n/a;n/a;n/a;1;no
9;Lindy Kroese;"""one of the best flights I've had""";2018-09-22;Trip Verified;United Kingdom;n/a;Amsterdam to Abu Dhabi ;Family Leisure;Economy Class;September 2018;5;4;5;5;5;4;4;yes
1;Karsten Thygesen;"""I have heard nothing back""";2018-09-19;Trip Verified;Denmark;n/a;Aalborg to Las Vegas via Amsterdam / Salt Lake City;Business;Economy Class;August 2018;3;3;3;3;3;n/a;1;no
1;Daniel Molloy;"""unable to make my outbound flight""";2018-09-17;Trip Verified;United Kingdom;n/a;Medellin to London via Cartagena;Solo Leisure;Economy Class;September 2018;1;n/a;n/a;n/a;n/a;n/a;n/a;no
8;Geoffrey Townsend;"""40 Euro per checked bag fee""";2018-09-12;Trip Verified;United Kingdom;Embraer;Southampton to Strasbourg via Amsterdam;Family Leisure;Economy Class;September 2018;4;3;4;4;n/a;n/a;4;yes
3;Michele Caforio;"""experience has really been bad""";2018-09-11;Trip Verified;Italy;E190;Milan to Trondheim via Amsterdam;Couple Leisure;Economy Class;August 2018;1;3;4;3;n/a;n/a;1;no
10;Richard Callis;""" Staff are always friendly and efficient""";2018-09-10;Trip Verified;Brazil;Boeing 737;Barcelona to Newcastle via Amsterdam;Solo Leisure;Economy Class;September 2018;5;5;5;5;n/a;n/a;5;yes
10;A Anderson;"""Very impressed on this short flight""";2018-09-07;Trip Verified;United Kingdom;Embraer RJ-190;Leeds to Amsterdam ;Business;Economy Class;June 2018;5;4;5;5;n/a;n/a;4;yes
7;Emirhan Samanci;"""meals wasn't competitive""";2018-09-06;Trip Verified;Turkey;Boeing 747-400 / 737-700;Los Angeles to Istanbul via Amsterdam;Solo Leisure;Economy Class;September 2018;3;3;4;4;2;n/a;4;yes
1;R Neale;"""most incompetent flight crew""";2018-09-04;Trip Verified;Austria;n/a;Amsterdam to Vienna;Business;Economy Class;September 2018;1;3;1;2;n/a;n/a;1;no
1;L Steensen;"""the worst quality plane""";2018-09-04;Trip Verified;Denmark;Fokker 100;Amsterdam to Copenhagen;Business;Economy Class;September 2018;1;1;1;1;1;1;1;no
8;EY Genis;"""Staff were among the best""";2018-09-04;Trip Verified;Netherlands;Boeing 737-900;Amsterdam to Ibiza;Couple Leisure;Economy Class;August 2018;5;4;5;5;n/a;n/a;5;yes
3;G Huang;"""aircraft was really old""";2018-09-01;Trip Verified;Canada;Boeing 747-400;Amsterdam to Toronto;Solo Leisure;Economy Class;July 2018;1;1;3;3;1;n/a;2;no
10;B Walker;"""love the personable approach""";2018-08-31;Trip Verified;Netherlands;Boeing 777-300;Amsterdam to Singapore;Family Leisure;Premium Economy;August 2018;4;5;5;5;5;4;5;yes
9;G Meares;"""two very good flights""";2018-08-28;Trip Verified;Sierra Leone;Boeing 777-200 / A330;Seoul to Freetown via Amsterdam;Solo Leisure;Business Class;August 2018;4;4;5;4;4;n/a;4;yes
1;R Gemirson;"""wheels broken off my luggage""";2018-08-28;Trip Verified;United States;n/a;Budapest to Boston via Amsterdam;Business;Economy Class;June 2018;1;4;3;4;3;1;1;no
1;T Serman;"""never fly with them again""";2018-08-26;Trip Verified;Netherlands;Boeing 777-300;Amsterdam to Singapore;Business;Economy Class;August 2018;1;1;3;1;n/a;n/a;4;no
1;B Vardell;"""Absolutely terrible.""";2018-08-25;Trip Verified;Canada;n/a;Catania to Amsterdam;Family Leisure;Economy Class;August 2018;1;2;1;1;n/a;n/a;2;no
9;P Sumaro;"""comfy way to travel overall""";2018-08-19;Trip Verified;Finland;Boeing 787-9;Amsterdam to Toronto;Couple Leisure;Business Class;August 2018;5;5;5;5;4;1;5;yes
7;P Sumaro;"""Below par short-haul business class""";2018-08-19;Trip Verified;Finland;Boeing 737-900;Helsinki to Amsterdam;Couple Leisure;Business Class;August 2018;4;4;5;2;1;1;5;yes
9;G Meares;"""friendly, outgoing, and attentive""";2018-08-17;Trip Verified;Sierra Leone;A330-200 / Boeing 777-200;Freetown to Hong Kong via Amsterdam;Solo Leisure;Business Class;July 2018;5;5;5;4;4;n/a;5;yes
4;Kimberley Fijman;"""I am very disappointed""";2018-08-17;Trip Verified;Thailand;Boeing 777-300;Amsterdam to Bangkok;Solo Leisure;Economy Class;August 2018;1;3;1;3;2;n/a;1;no
9;S Marter;KLM Royal Dutch Airlines customer review;2018-08-16;Trip Verified;United Kingdom;n/a;Amsterdam to London;Business;Economy Class;July 2018;5;4;5;4;n/a;n/a;5;yes
10;Tomos Buttress;"""crew were very impressive""";2018-08-16;Trip Verified;United Kingdom;Boeing 777-300ER;Santiago de Chile to Buenos Aires;Couple Leisure;Economy Class;August 2018;5;5;5;5;5;n/a;5;yes
4;Paul Beardshaw;"""sitting in a pile of claims""";2018-08-10;Trip Verified;United Kingdom;n/a;Birmingham to Minneapolis via Amsterdam;Couple Leisure;Economy Class;June 2018;3;3;4;4;3;n/a;1;no
6;Nuno Pereira;"""where is the hot meal?""";2018-08-05;Trip Verified;Portugal;E195;Porto to Berlin via Amsterdam;Family Leisure;Economy Class;July 2018;3;3;4;2;1;n/a;3;yes
9;Matthew Haycock;"""I would highly recommend""";2018-08-01;Trip Verified;United Kingdom;Boeing 777-300ER;Singapore to Denpasar;Family Leisure;Business Class;July 2018;4;4;5;4;5;n/a;4;yes
8;Vincent Borlaug;"""on time, very comfortable""";2018-07-28;Trip Verified;United States;Boeing 777-200ER;Washington to Tallinn via Amsterdam;Solo Leisure;Economy Class;July 2018;4;5;5;2;n/a;n/a;5;yes
7;Aart de Vos;"""Boarding was efficient""";2018-07-26;Trip Verified;Netherlands;Boeing 737-800;Amsterdam to Lisbon;Couple Leisure;Economy Class;July 2018;3;3;4;3;n/a;n/a;3;yes
10;R Dalkaan;"""would greatly recommend""";2018-07-25;Trip Verified;Netherlands;n/a;Amsterdam to Athens;Family Leisure;Economy Class;July 2018;5;n/a;n/a;n/a;n/a;n/a;5;yes
4;G Manatino;"""deserves better food""";2018-07-24;Trip Verified;Canada;Boeing 777;Rome to Calgary via Amsterdam;Family Leisure;Premium Economy;July 2018;2;3;3;1;5;1;4;no
1;T Reesan;"""KLM lost a customer""";2018-07-23;Trip Verified;Netherlands;n/a;Budapest to Amsterdam;Solo Leisure;Premium Economy;July 2018;1;4;2;4;n/a;n/a;1;no
1;B Mousan;""" never booking  KLM/Air France again""";2018-07-21;Trip Verified;Australia;n/a;AMS to SYD via CAN;Family Leisure;Economy Class;July 2018;1;1;1;1;1;n/a;1;no
1;T Peel;"""unhelpful and unapologetic""";2018-07-14;Trip Verified;United States;n/a;Genoa to Amsterdam;Solo Leisure;Economy Class;June 2018;1;3;3;3;2;n/a;1;no
1;Susanna Longo;"""worst experiences ever""";2018-07-13;Trip Verified;Italy;n/a;Cardiff to Turin via Amsterdam;Business;Economy Class;July 2018;1;3;3;4;n/a;n/a;1;no
10;Jerry Kell;"""Fantastic customer service""";2018-07-11;Trip Verified;United Kingdom;n/a;Athens to Durham Tees via Amsterdam;Couple Leisure;Economy Class;July 2018;5;5;5;5;n/a;n/a;5;yes
9;Adel Pour Hakimi;"""very satisfied with this flight""";2018-07-11;Trip Verified;Lebanon;Boeing 737-800;Prague to Amsterdam;Solo Leisure;Economy Class;July 2018;3;5;5;4;n/a;n/a;5;yes
